barcode,Name,Ensembl
Fib,Ly6i,
Fib,Hfe,
Fib,Stk10,
Fib,Gpr141,
Fib,Pip4k2a,
Fib,Naaa,
Fib,Fam49a,
Fib,Ccdc88a,
Fib,Nadk,
Fib,Tkt,
Fib,Mob1a,
Fib,Ccdc109b,
Fib,Clec10a,
Fib,Cd300e,
Fib,Serpinb10,
Fib,G6pdx,
Macro,Cd74,
Macro,H2-Aa,
Macro,H2-Ab1,
Macro,H2-Eb1,
Macro,C1qa,
Macro,C1qb,
Macro,C1qc,
Macro,Apoe,
Macro,Cst3,
Macro,H2-DMa,
Macro,Aif1,
Macro,H2-DMb1,
Macro,Fcgr3,
Macro,Fyb,
Macro,Ctsc,
Macro,Cx3cr1,
Macro,Ly86,
Macro,Rgs10,
Macro,P2ry6,
Macro,Cd72,
Macro,Cxcl16,
Macro,Tgfbr1,
Macro,Pid1,
Macro,Fcgr4,
Macro,Slamf9,
Macro,Pf4,
Macro,Ctsh,
Macro,Mgl2,
Macro,Unc93b1,
Macro,Ms4a7,
Macro,Scimp,
Macro,Marcks,
Macro,Vsir,
Macro,Lilra5,
Macro,Gpr65,
Macro,Axl,
Macro,Clec4a2,
Macro,Lair1,
Macro,Hspa1a,
Macro,Bcl2a1b,
Macro,Tmcc3,
Macro,Trf,
Macro,Tmem176b,
Macro,Ccl12,
Macro,Adgre1,
Macro,Mmp13,
Macro,Hpgds,
Macro,Clec4b1,
Macro,Cd83,
Macro,Lat2,
Macro,C3ar1,
Macro,Creb5,
Macro,Cdk6,
Macro,Runx1,
Macro,Lacc1,
Macro,Apobec1,
Macro,Basp1,
Macro,Rtn4,
Macro,Stab1,
Macro,Cd86,
Macro,Fcgr2b,
Macro,Pea15a,
Macro,Cadm1,
Macro,Gusb,
Macro,Itm2c,
Macro,Cyth4,
Macro,Inpp5d,
Macro,Ppt1,
Macro,Gm26522,
Macro,Mrc1,
Macro,Stap1,
Macro,Parp14,
Macro,Sepp1,
Macro,Fnbp1,
Macro,Ntpcr,
Macro,Asah1,
Macro,Adap2,
Macro,Taok3,
Macro,Zmynd15,
Macro,Fgd2,
Macro,Adap2os,
Macro,Stx16,
Macro,Lpar6,
Macro,Fcgr1,
Macro,Zeb2os,
Macro,Rab7b,
Macro,Sdc3,
Macro,Adrb1,
Macro,Rbpj,
Macro,Abhd12,
Macro,Gm4951,
Macro,Sft2d1,
Macro,Ebi3,
Macro,Ifnar1,
Macro,Slco2b1,
Macro,Pydc4,
Macro,Vcam1,
Macro,Col14a1,
Macro,Mknk1,
Macro,Cfh,
Neutro,S100a8,
Neutro,S100a9,
Neutro,Retnlg,
Neutro,Tyrobp,
Neutro,Il1b,
Neutro,Wfdc21,
Neutro,Ngp,
Neutro,Ccl6,
Neutro,S100a6,
Neutro,S100a11,
Neutro,Lcn2,
Neutro,Ifitm1,
Neutro,Cxcl2,
Neutro,Junb,
Neutro,Fos,
Neutro,Fxyd5,
Neutro,Wfdc17,
Neutro,Hp,
Neutro,Dusp1,
Neutro,Pglyrp1,
Neutro,Alox5ap,
Neutro,Srgn,
Neutro,Gm5483,
Neutro,Ccl3,
Neutro,Gmfg,
Neutro,Ccl9,
Neutro,Hdc,
Neutro,Msrb1,
Neutro,Mmp8,
Neutro,Stfa2l1,
Neutro,Cxcr2,
Neutro,Mxd1,
Neutro,Lrg1,
Neutro,Btg2,
Neutro,Taldo1,
Neutro,Osm,
Neutro,Anxa1,
Neutro,Stk17b,
Neutro,Csf3r,
Neutro,Mmp9,
Neutro,Rgs2,
Neutro,Cdk2ap2,
Neutro,Ier2,
Neutro,G0s2,
Neutro,Zyx,
Neutro,Gsr,
Neutro,Mcemp1,
Neutro,Pilra,
Neutro,Lilr4b,
Neutro,C5ar1,
Neutro,Cyp4f18,
Neutro,Mrpl33,
Neutro,2310001H17Rik,
Neutro,Gda,
Neutro,Clec4d,
Neutro,Map1lc3b,
Neutro,Slc7a11,
Neutro,Zfp36,
Neutro,Plp2,
Neutro,Clec4e,
Neutro,Prr13,
Neutro,Hacd4,
Neutro,Trem3,
Neutro,Asprv1,
Neutro,Txn1,
Neutro,Glipr2,
Neutro,Mcl1,
Neutro,Eif4ebp1,
Neutro,Gdpd3,
Neutro,Ccrl2,
Neutro,Slfn1,
Neutro,Cd300ld,
Neutro,Dhrs7,
Neutro,R3hdm4,
Neutro,Il17ra,
Neutro,Ccr1,
Neutro,F630028O10Rik,
Neutro,Ncf1,
Neutro,Litaf,
Neutro,1600010M07Rik,
Neutro,Ly6g,
Neutro,Pygl,
Neutro,Tpd52,
Neutro,Amica1,
Neutro,H2-Q10,
Neutro,Csrp3,
Neutro,Glrx,
Neutro,Rara,
Neutro,Trem1,
Neutro,Slfn4,
Neutro,Cd300lf,
Neutro,Rdh12,
Neutro,Adipor1,
Neutro,AA467197,
Neutro,Socs3,
Neutro,Sorl1,
Neutro,Card19,
Neutro,Rnf144a,
Neutro,Arg2,
Neutro,Bst1,
Neutro,Grina,
Neutro,Gm5150,
Neutro,Chil1,
Neutro,Il1f9,
Neutro,Mrgpra2b,
Neutro,Pgd,
Neutro,Il1r2,
Neutro,Pilrb2,
Neutro,Cfp,
Neutro,Ptp4a1,
Neutro,Rassf3,
Neutro,Trim30b,
Neutro,Adam8,
Neutro,Dgat1,
Neutro,Abtb1,
Neutro,Cd177,
Neutro,Ube2b,
Neutro,Slc16a3,
Neutro,Ptgs2,
